"Work","Expression","Manifestation","Title","Lang","Author"
"W41","E2","M9","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M10","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M12","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M16","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M21","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M22","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M23","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M26","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M27","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M33","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M54","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M76","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M97","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M100","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M116","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M128","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M135","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M137","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M139","Acolastus","Latin","Guilielmus Gnapheus"
"W41","E2","M149","Acolastus","Latin","Guilielmus Gnapheus"
"W42","E3","M11","Christus Xylonicus","Latin","Nicolaus Bartholomaeus"
"W42","E3","M40","Christus Xylonicus","Latin","Nicolaus Bartholomaeus"
"W42","E3","M56","Christus Xilonicus","Latin","Nicolaus Bartholomaeus"
"W43","E4","M13","Ruth","Latin","Jacobus Zovitius"
"W43","E4","M91","Ruth","Latin","Jacobus Zovitius"
"W44","E5","M14","Didascalus","Latin","Jacobus Zovitius"
"W44","E5","M57","Didascalus","Latin","Jacobus Zovitius"
"W44","E5","M70","Didascalus","Latin","Jacobus Zovitius"
"W45","E6","M19","Rebelles","Latin","Georgius Macropedius"
"W45","E6","M43","Rebelles","Latin","Georgius Macropedius"
"W45","E6","M45","Rebelles","Latin","Georgius Macropedius"
"W45","E6","M86","Rebelles","Latin","Georgius Macropedius"
"W45","E6","M107","Rebelles","Latin","Georgius Macropedius"
"W45","E6","M115","Rebelles","Latin","Georgius Macropedius"
"W45","E6","M123","Rebelles","Latin","Georgius Macropedius"
"W45","E6","M2133","Rebelles","Latin","Georgius Macropedius"
"W46","E7","M20","Aluta","Latin","Georgius Macropedius"
"W46","E7","M44","Aluta","Latin","Georgius Macropedius"
"W46","E7","M47","Aluta","Latin","Georgius Macropedius"
"W46","E7","M80","Aluta","Latin","Georgius Macropedius"
"W46","E7","M85","Aluta","Latin","Georgius Macropedius"
"W46","E7","M103","Aluta","Latin","Georgius Macropedius"
"W46","E7","M110","Aluta","Latin","Georgius Macropedius"
"W46","E7","M122","Aluta","Latin","Georgius Macropedius"
"W46","E7","M2132","Aluta","Latin","Georgius Macropedius"
"W47","E8","M24","Joseph","Latin","Cornelius Crocus"
"W47","E8","M29","Joseph","Latin","Cornelius Crocus"
"W47","E8","M30","Joseph","Latin","Cornelius Crocus"
"W47","E8","M31","Joseph","Latin","Cornelius Crocus"
"W47","E8","M32","Joseph","Latin","Cornelius Crocus"
"W47","E8","M34","Joseph","Latin","Cornelius Crocus"
"W47","E8","M41","Joseph","Latin","Cornelius Crocus"
